ENTRADA -> XYZ999 | Celda 1 ocupada | Thu May 21 07:36:38 2026
ENTRADA -> JKL456 | Celda 4 ocupada | Thu May 21 07:36:43 2026
SALIDA -> ABC123 | Celda 5 liberada | Thu May 21 07:36:45 2026
ENTRADA -> MNO888 | Celda 3 ocupada | Thu May 21 07:36:50 2026
SALIDA -> XYZ999 | Celda 1 liberada | Thu May 21 07:36:55 2026
ENTRADA -> PQR777 | Celda 2 ocupada | Thu May 21 07:37:00 2026
ENTRADA -> ABC123 | Celda 5 ocupada | Thu May 21 07:37:02 2026
ENTRADA -> XYZ999 | Celda 1 ocupada | Thu May 21 07:37:04 2026
SALIDA -> JKL456 | Celda 4 liberada | Thu May 21 07:37:09 2026
SALIDA -> ABC123 | Celda 5 liberada | Thu May 21 07:37:11 2026
SALIDA -> MNO888 | Celda 3 liberada | Thu May 21 07:37:13 2026
SALIDA -> XYZ999 | Celda 1 liberada | Thu May 21 07:37:15 2026
SALIDA -> PQR777 | Celda 2 liberada | Thu May 21 07:37:17 2026
ENTRADA -> ABC123 | Celda 4 ocupada | Thu May 21 07:37:19 2026
ENTRADA -> XYZ999 | Celda 5 ocupada | Thu May 21 07:37:21 2026
ENTRADA -> JKL456 | Celda 3 ocupada | Thu May 21 07:37:26 2026
SALIDA -> ABC123 | Celda 4 liberada | Thu May 21 07:37:28 2026
ENTRADA -> MNO888 | Celda 1 ocupada | Thu May 21 07:37:33 2026
SALIDA -> XYZ999 | Celda 5 liberada | Thu May 21 07:37:35 2026
ENTRADA -> PQR777 | Celda 2 ocupada | Thu May 21 07:37:37 2026
ENTRADA -> ABC123 | Celda 4 ocupada | Thu May 21 07:37:39 2026
ENTRADA -> XYZ999 | Celda 5 ocupada | Thu May 21 07:37:44 2026
SALIDA -> JKL456 | Celda 3 liberada | Thu May 21 07:37:46 2026
SALIDA -> ABC123 | Celda 4 liberada | Thu May 21 07:37:51 2026
SALIDA -> MNO888 | Celda 1 liberada | Thu May 21 07:37:56 2026
SALIDA -> XYZ999 | Celda 5 liberada | Thu May 21 07:37:58 2026
SALIDA -> PQR777 | Celda 2 liberada | Thu May 21 07:38:03 2026
ENTRADA -> ABC123 | Celda 3 ocupada | Thu May 21 07:38:08 2026
ENTRADA -> XYZ999 | Celda 4 ocupada | Thu May 21 07:38:13 2026
ENTRADA -> JKL456 | Celda 1 ocupada | Thu May 21 07:38:15 2026
SALIDA -> ABC123 | Celda 3 liberada | Thu May 21 07:38:17 2026
ENTRADA -> MNO888 | Celda 5 ocupada | Thu May 21 07:38:19 2026
SALIDA -> XYZ999 | Celda 4 liberada | Thu May 21 07:38:24 2026
ENTRADA -> PQR777 | Celda 2 ocupada | Thu May 21 07:38:29 2026
ENTRADA -> ABC123 | Celda 3 ocupada | Thu May 21 07:38:34 2026
ENTRADA -> XYZ999 | Celda 4 ocupada | Thu May 21 07:38:39 2026
SALIDA -> JKL456 | Celda 1 liberada | Thu May 21 07:38:41 2026
SALIDA -> ABC123 | Celda 3 liberada | Thu May 21 07:38:43 2026
SALIDA -> MNO888 | Celda 5 liberada | Thu May 21 07:38:48 2026
SALIDA -> XYZ999 | Celda 4 liberada | Thu May 21 07:38:53 2026
SALIDA -> PQR777 | Celda 2 liberada | Thu May 21 07:38:55 2026
ENTRADA -> ABC123 | Celda 1 ocupada | Thu May 21 07:38:57 2026
ENTRADA -> XYZ999 | Celda 3 ocupada | Thu May 21 07:39:02 2026
ENTRADA -> JKL456 | Celda 5 ocupada | Thu May 21 07:39:04 2026
SALIDA -> ABC123 | Celda 1 liberada | Thu May 21 07:39:06 2026
ENTRADA -> MNO888 | Celda 4 ocupada | Thu May 21 07:39:11 2026
SALIDA -> XYZ999 | Celda 3 liberada | Thu May 21 07:39:16 2026
ENTRADA -> PQR777 | Celda 2 ocupada | Thu May 21 07:39:18 2026
ENTRADA -> ABC123 | Celda 1 ocupada | Thu May 21 07:39:23 2026
ENTRADA -> XYZ999 | Celda 3 ocupada | Thu May 21 07:39:25 2026
SALIDA -> JKL456 | Celda 5 liberada | Thu May 21 07:39:27 2026
SALIDA -> ABC123 | Celda 1 liberada | Thu May 21 07:39:32 2026
